Clinic,Street Address,Suite,Zip Code,County,State,Phone,Website,NHSC Certified,PCPCH Recognized,Clinic Type,Location 1
Asante Physician Partners Family Medicine Talent,49 Talent Ave,,97540,Jackson,Oregon,541-201-4900,http://www.asante.org/Locations/location-detail/?id=1345,,Yes,,
Asante Physician Partners Internal Medicine Ashland,560 Catalina Dr,,97520,Jackson,Oregon,541-201-4800,https://www.asante.org/asante-physician-partners/,,Yes,,
Asante Rogue Regional Medical Center Hospital,2825 Barnett Road,,97504,Jackson,Oregon,541-789-7000,http://www.asante.org/Locations/location-detail/?id=1018,No,No,Hospital,"2825 Barnett Road
Medford, OR 97504
(42.316497103000074, -122.83050961799995)"
Asante Three Rivers Medical Center,500 SW Ramsey Avenue,,97527,Josephine,Oregon,541-472-7000,http://www.asante.org/Locations/location-detail/?id=1022&searchId=00781d12-7a03-e311-bd4d-001cc4150de6&sort=7&page=2&pageSize=10,No,No,Hospital,"500 SW Ramsey Avenue
Grants Pass, OR 97527
(42.42144852400003, -123.33958402699994)"
Asher CHC - Mitchell School K-12,340 SE High St,,97750,Wheeler,Oregon,541-462-3313,http://www.asherhealth.info/,Yes,No,FQHC/SBHC,"340 SE High St
Mitchell, OR 97750
(44.56528222800006, -120.14714601699995)"
Asher Community Health Clinic - Fossil,712 Jay St,,97830,Wheeler,Oregon,541-763-2725,http://www.asherhealth.info/,Yes,No,FQHC,"712 Jay St
Fossil, OR 97830
(44.99835121600006, -120.21240088799999)"
Asher Community Health Clinic - Spray,106 2nd St,,97874,Wheeler,Oregon,541-468-2211,http://www.asherhealth.info/,Yes,No,FQHC,"106 2nd St
Spray, OR 97874
(44.828209892000075, -119.79174773599999)"
Ashland Clinic - Community Health Center,99 Central Ave,,97520,Jackson,Oregon,541-482-9741,http://www.communityhealthcenter.org/,Yes,Yes,FQHC,"99 Central Ave
Ashland, OR 97520
(42.20010627000005, -122.71500027999997)"
Ashland Community Hospital,280 Maple Street,,97520,Jackson,Oregon,541-789-7000,http://www.asante.org/about-us/our-hospitals/ashland/,No,No,Hospital,"280 Maple Street
Ashland, OR 97520
(42.20644151500005, -122.72475780199994)"
Ashland HS,201 S Mountain Ave,,97520,Jackson,Oregon,541-482-8771,http://communityhealthcenter.org,No,Yes,FQHC/SBHC,"201 S Mountain Ave
Ashland, OR 97520
(42.19076933000008, -122.69928661299997)"
Aurora Family Health and Maternity Care Services,21018 NE Hwy 99E,,97002,Marion,Oregon,503-678-6269,http://www.aurorafamilymedicine.com/,No,No,RHC,"21018 NE Hwy 99E
Aurora, OR 97002
(45.223765194000066, -122.75847587299995)"
Baker Clinic,3175 Pocahontas Rd,,97814,Baker,Oregon,541-523-4415,http://www.bakerclinic.net/,No,No,RHC,"3175 Pocahontas Rd
Baker City, OR 97814
(44.79613151900003, -117.84517041199996)"
Baker HS,2500 E St,,97814,Baker,Oregon,541-524-2646,http://www.bakercounty.org/health/sbhc.html,No,No,SBHC,"2500 E St
Baker City, OR 97814
(44.786256464000076, -117.83773934599998)"
Bandon Community Health Center,780 2nd Street SE,Suite 7,97411,Coos,Oregon,541-347-2529,http://www.bandonchc.org,Yes,No,RHC,"780 2nd Street SE
Bandon, OR 97411
(43.11905216900004, -124.40562931099998)"
Bay Area Hospital,1775 Thompson Road,,97420,Coos,Oregon,541-269-8111,http://www.bayareahospital.org/,No,No,Hospital,"1775 Thompson Road
Coos Bay, OR 97420
(43.38582902100006, -124.23315775799995)"
Bayshore Family Medicine,38505 Brooten Rd,,97135,Tillamook,Oregon,503-965-6555,http://www.tillamookregionalmc.org/location/bayshore-medical-pacific-city,Yes,Yes,RHC,"38505 Brooten Rd
Pacific City, OR 97135
(45.20759860800007, -123.96426817399998)"
Bayshore Family Medicine-Lincoln City,1105 SE Jetty Ave,Suite C,97367,Lincoln,Oregon,541-614-0482,http://www.tillamookregionalmc.org/location/bayshore-medical-lincoln-city,Yes,Yes,RHC,"1105 SE Jetty Ave
Lincoln City, OR 97367
(44.95945479100004, -124.01268162399998)"
Beavercreek Clinic,1425 Beavercreek Rd,,97045,Clackamas,Oregon,503-655-8471,http://www.clackamas.us/healthcenters/beavercreek.html,Yes,Yes,FQHC,"1425 Beavercreek Rd
Oregon City, OR 97045
(45.33390924300005, -122.58830657099998)"
Benton Health Center,530 NW 27th St ,,97330,Benton,Oregon,541-766-6835,http://www.co.benton.or.us/health/behavioral_health/adult.php,No,No,FQHC,"530 NW 27th St
Corvallis, OR 97330
(44.57306711900003, -123.28119466199996)"
Blue Mountain Hospital,170 Ford Road,,97845,Grant,Oregon,541-575-1311,http://www.bluemountainhospital.org/getpage.php?name=index,No,No,Hospital,"170 Ford Road
John Day, OR 97845
(44.417510005000054, -118.95826110899998)"
Brookings Harbor HS,625 Pioneer Rd,,97415,Curry,Oregon,541-469-4626,http://www.brookings.k12.or.us/,No,No,SBHC,"625 Pioneer Rd
Brookings, OR 97415
(42.05751139500006, -124.27961692399998)"
Brookside Clinic,1680 Chambers Street,Suite 103,97402,Lane,Oregon,541-682-3550,,,Yes,,
Butte Falls Charter School,722 Laurel Ave,,97522,Jackson,Oregon,541-842-7799,http://communityhealthcenter.org,No,Yes,FQHC/SBHC,"722 Laurel Ave
Butte Falls, OR 97522
(42.54118995500005, -122.56458805699998)"
Butte Falls Clinic -Community Health Center,722 Laurel Ave,,97522,Jackson,Oregon,541-842-7799,http://www.communityhealthcenter.org/Page.asp?NavID=77,No,No,FQHC,"722 Laurel Ave
Butte Falls, OR 97522
(42.54118995500005, -122.56458805699998)"
Calcagno Pediatrics,24850 SE Stark,Suite 150,97030,Multnomah,Oregon,503-491-0714,http://calcagnopediatrics.com/,,Yes,,
Canby Health Care Clinic LLC,703 SE 1st Ave,,97013,Clackamas,Oregon,503-266-7686,http://www.canbyhealthcareclinic.com/Canby_HealthCare_Center/Home_Page.html,Yes,No,RHC,"703 SE 1st Ave
Canby, OR 97013
(45.26471403700003, -122.68572245999997)"
Canby HS,721 SW 4th Ave,,97013,Clackamas,Oregon,503-263-7219,http://blogs.canby.k12.or.us/sbhc,No,No,FQHC/SBHC,"721 SW 4th Ave
Canby, OR 97013
(45.257952243000034, -122.69713414999995)"
Cares Northwest,2800 N Vancouver Ave,Suite 201,97227,Multnomah,Oregon,503-276-9000 ,http://www.caresnw.org,No,No,FQHC,"2800 N Vancouver Ave
Portland, OR 97227
(45.543228413000065, -122.66810010599994)"
Cascade MS,1525 Echo Hollow Rd,,97402,Lane,Oregon,541-607-1430,http://blogs.bethel.k12.or.us/bshc/,No,Yes,SBHC,"1525 Echo Hollow Rd
Eugene, OR 97402
(44.078560707000065, -123.16807056699997)"
Cedarwood Family Practice,124 NW Midland,Suite J,97526,Josephine,Oregon,541-476-8859,,,Yes,,
Centennial School District (13 sub-sites),18135 SE Brooklyn St,,97236,Multnomah,Oregon,503-760-7990,http://www.centennial.k12.or.us/pages/Centennial_School_District,No,No,FQHC,"18135 SE Brooklyn St
Portland, OR 97236
(45.501106751000066, -122.47665885299995)"
Center for Women & the Family,"17 SW Frazer, Suite 282",Suite 282,97801,Umatilla,Oregon,541-278-3377,http://www.ohsu.edu/xd/outreach/oregon-rural-health/clinics/clinics-directory/index.cfm#CP_JUMP_1327821,Yes,Yes,RHC,"17 SW Frazer, Suite 282
Pendleton, OR 97801
(45.669921663000025, -118.78608786199999)"
CEP Consumer Center CCC,610 NW Davis St,,97209,Multnomah,Oregon,503-294-1681,http://www.centralcityconcern.org/,Yes,No,FQHC,"610 NW Davis St
Portland, OR 97209
(45.52445198100003, -122.67677909199995)"
Cesar Chavez K-8,5103 N Willis Blvd,,97203,Multnomah,Oregon,503-988-3815,http://osbha.org/centers/c%C3%A9sarch%C3%A1vez,No,No,FQHC/SBHC,"5103 N Willis Blvd
Portland, OR 97203
(45.58408717400005, -122.71956907699996)"
Charnelton Community Clinic CHC,151 W 7th Ave,Suite 100,97401,Lane,Oregon,541-682-3550,http://www.lanecounty.org/Departments/HHS/CHC/Pages/locations.aspx#charnelton,Yes,Yes,FQHC,"151 W 7th Ave
Eugene, OR 97401
(44.05215730800006, -123.09532932999997)"
Chemawa Indian Health Center,3750 Chemawa Rd NE,,97305,Marion,Oregon,503-304-7600,http://www.ihs.gov/portland/index.cfm?module=dsp_port_hf_western_oregon,Yes,No,IHS,"3750 Chemawa Rd NE
Salem, OR 97305
(45.00447385800004, -122.98549849799997)"
Chiloquin Open Door,103 Wasco Ave,,97624,Klamath,Oregon,541-783-2292,http://www.klamathopendoor.org/?page_id=24,Yes,No,FQHC,"103 Wasco Ave
Chiloquin, OR 97624
(42.57796489400005, -121.86650794999997)"
Churchill HS,1850 Bailey Hill Rd,,97405,Lane,Oregon,541-790-5227,http://www.4j.lane.edu/instruction/ess/health-services/,No,No,SBHC,"1850 Bailey Hill Rd
Eugene, OR 97405
(44.039190681000036, -123.14933332099997)"
Clara Vista Family Resource Center,6706 NE Killingsworth St,,97218,Multnomah,Oregon, 503-988-3674,http://web.multco.us/,No,No,FQHC,"6706 NE Killingsworth St
Portland, OR 97218
(45.56268238700005, -122.59391044099999)"
Clatskanie Family Medical Clinic,401 Bel Air Dr,,97016,Columbia,Oregon,503-728-5111,http://www.healthgrades.com/physician/dr-irina-stolerman-xklyp/appointment#AppointmentsAndOffices2_anchor,No,No,RHC,"401 Bel Air Dr
Clatskanie, OR 97016
(46.10464200700005, -123.20912291999997)"
Cleveland HS,3400 SE 26th Ave,Suite 163,97202,Multnomah,Oregon,503-988-3350,http://osbha.org/centers/clevelandhighschool,Yes,Yes,FQHC/SBHC,"3400 SE 26th Ave
Portland, OR 97202
(45.49852909700007, -122.63957997799997)"
Coastal Family Health Center,2158 Exchange St Ste 304,Suite 304,97103,Clatsop,Oregon,541-325-8315,http://www.coastalfhc.org/,Yes,Yes,FQHC,"2158 Exchange St Ste 304
Astoria, OR 97103
(46.18857850100005, -123.81793831599998)"
Coastal Health Practitioners,3015 NE West Devils Lake Rd,,97367,Lincoln,Oregon,541-994-8911,http://www.ohsu.edu/xd/outreach/oregon-rural-health/clinics/clinics-directory/index.cfm#CP_JUMP_1327821,No,Yes,RHC,"3015 NE West Devils Lake Rd
Lincoln City, OR 97367
(44.98762116800003, -123.99698869799994)"
Columbia Crest Clinic,1935 E 19th St,Suite 100,97058,Wasco,Oregon,541-296-7677,http://www.mcmc.net/Clinics/FamilyMed/ColumbiaCrest.aspx?AspxAutoDetectCookieSupport=1,Yes,No,RHC,"1935 E 19th St
The Dalles, OR 97058
(45.588246911000056, -121.161309572)"
Columbia Gorge Family Medicine,1750 12th Street,,97031,Hood River,Oregon,541-386-5070,http://www.columbiagorgefamilymedicine.com/,No,Yes,RHC,"1750 12th Street
Hood River, OR 97031
(45.69595069300004, -121.52368837499995)"
Columbia Hills Family Medicine,1620 E 12th St,,97058,Wasco,Oregon,541-296-9151,http://www.mcmc.net/Clinics/FamilyMed/ColumbiaHills.aspx?AspxAutoDetectCookieSupport=1,Yes,No,RHC,"1620 E 12th St
The Dalles, OR 97058
(45.59301159700004, -121.16746967099999)"
Columbia Memorial HospitalAstoria,2111 Exchange Street,,97103,Clatsop,Oregon,503-325-4321,http://www.columbiamemorial.org/,Yes,No,Hospital,"2111 Exchange Street
Astoria, OR 97103
(46.188467538000054, -123.819001303)"
Columbia Memorial Hospital Pediatric Clinic,2265 Exchange St,,97103,Clatsop,Oregon,503-325-7337,http://www.columbiamemorial.org/clinics-pediatrics.aspx,,,,
Columbia Memorial Hospital Primary Care ,1639 SE Ensign Ln,Suite B102,97146,Clatsop,Oregon,503-338-4500,http://www.columbiamemorial.org/clinics-primarycare.aspx,,,,
Columbia Memorial Hospital Women's Center,2265 Exchange St,,97103,Clatsop,Oregon,503-338-7595,http://www.columbiamemorial.org/clinics-womens.aspx,,,,
Columbia River Community Health Services,450 Tatone St,,97818,Morrow,Oregon,541-481-7212,http://www.crchs.net/index.html,Yes,No,FQHC,"450 Tatone St
Boardman, OR 97818
(45.83045597300003, -119.70296703499997)"
Community Center/Head Start - Coquille Indian Tribe,591 Miluk Dr,,97420,Coos,Oregon,541-888-9494,http://www.coquilletribe.org/humanservices.htm,Yes,No,Tribal,"591 Miluk Dr
Coos Bay, OR 97420
(43.35977095100003, -124.29795699399995)"
Community Engagement Program CCC,709 NW Everett St,,97209,Multnomah,Oregon,503-226-4060,http://www.centralcityconcern.org/,No,No,FQHC,"709 NW Everett St
Portland, OR 97209
(45.52520672600008, -122.67785993299998)"
Community Health Center - Coquille Indian Tribe,600 Miluk Dr,,97420,Coos,Oregon,541-888-9494,http://www.coquilletribe.org/humanservices.htm,Yes,No,Tribal,"600 Miluk Dr
Coos Bay, OR 97420
(43.35924162900005, -124.29734663399995)"
"Coos Bay Outreach Office - Confed. Tribes of Coos, L. Umpqua & Siuslaw",1245 Fulton Ave,,97420,Coos,Oregon,541-888-9577,http://ctclusi.org/,Yes,No,Tribal,"1245 Fulton Ave
Coos Bay, OR 97420
(43.38325195300007, -124.26447017999999)"
Coquille Valley Hospital,940 E Fifth Avenue,,97423,Coos,Oregon,541-396-3101,http://www.cvhospital.org/,No,No,Hospital,"940 E Fifth Avenue
Coquille, OR 97423
(43.179027286000064, -124.17921976199995)"
Corbett School District (3 sub-sites),35200 Historic Columbia River Hwy,,97019,Multnomah,Oregon,503-261-4226,http://corbett.k12.or.us/,Yes,No,FQHC,"35200 Historic Columbia River Hwy
Corbett, OR 97019
(45.52904382400004, -122.30142674799998)"
Cottage Grove Community Hospital,1515 Village Drive,,97424,Lane,Oregon,541-942-0511 ,http://www.peacehealth.org/cottage-grove/Pages/default.aspx,No,No,Hospital,"1515 Village Drive
Cottage Grove, OR 97424
(43.80421852500007, -123.03866702399995)"
Cow Creek Health & Wellness Center Annex - Umpqua Tribe,270 Gazley Bridge Rd,,97417,Douglas,Oregon,541-839-1345,http://www.cowcreek.com/medical-center,Yes,No,Tribal,"270 Gazley Bridge Rd
Canyonville, OR 97417
(42.94176669800004, -123.285996249)"
Cow Creek Health & Wellness Center - Umpqua Tribe,2371 NE Stephens St,,97470,Douglas,Oregon,541-672-8533,http://www.cowcreek.com/contact/12-contacts/2-cow-creek-health-a-wellness-center,Yes,No,Tribal,"2371 NE Stephens St
Roseburg, OR 97470
(43.23856914400005, -123.35284126999994)"
Crooked River ES,757 NE 1st St,,97754,Crook,Oregon,541-323-4272,http://mosaicmedical.org/crook-school-based-health-center/,No,No,FQHC/SBHC,"757 NE 1st St
Prineville, OR 97754
(44.301146972000026, -120.83971923999997)"
"C. Scott Graham, DO, PC",620 South J St,,97630,Lake,Oregon,541-947-2331,http://www.lakehealthdistrict.org/index.php/physicians-list/26-family-practice/8-c-scott-gaham-do,No,No,RHC,"620 South J St
Lakeview, OR 97630
(42.18184426200003, -120.35143573999994)"
Curry Community Health - Gold Beach,94235 Moore St,Suite 121,97444,Curry,Oregon,541-425-7545,http://www.currych.org/public-services,,Yes,,
Curry Community Health Integrated Services,412 Alder St,,97415,Curry,Oregon,541-813-2535,http://www.currych.org/public-services,,Yes,,
Curry Community Health - North,1403 Oregon St,,97465,Curry,Oregon,541-247-3308,http://www.currych.org/public-services,,Yes,,
Curry Family Medical,525 Madrona Ave,,97465,Curry,Oregon,541-332-3861,http://www.curryhealthnetwork.com/,Yes,No,RHC,"525 Madrona Ave
Port Orford, OR 97465
(42.755643226000075, -124.49872907299999)"
Curry General Hospital,94220 4th Street,,97444,Curry,Oregon,541-247-3000,http://www.curryhealthnetwork.com/,No,No,Hospital,"94220 4th Street
Gold Beach, OR 97444
(42.41163179500006, -124.41862013599996)"
David Douglas HS,1034 SE 130th Ave,,97233,Multnomah,Oregon,503-988-3554,http://osbha.org/centers/daviddouglashighschool,Yes,Yes,FQHC/SBHC,"1034 SE 130th Ave
Portland, OR 97233
(45.51554045700004, -122.52997601199996)"
David Douglas School District (17 sub-sites),1500 SE 130th Ave,,97233,Multnomah,Oregon,503-256-6500,http://www.ddouglas.k12.or.us/,No,No,FQHC,"1500 SE 130th Ave
Portland, OR 97233
(45.512089149000076, -122.52994036399997)"
DCJ Donald E. Long,1401 NE 68th Ave,,97213,Multnomah,Oregon,503-988-3674,http://web.multco.us/,No,No,FQHC,"1401 NE 68th Ave
Portland, OR 97213
(45.53059364300003, -122.594327567)"
DCJ Southwest Parole & Probation,421 SW 5th Ave,,97204,Multnomah,Oregon,503-988-3198,http://web.multco.us/,No,No,FQHC,"421 SW 5th Ave
Portland, OR 97204
(45.52027495900006, -122.67679061499996)"
Douglas HS,1381 NW Douglas Blvd,,97496,Douglas,Oregon,541-679-3008,http://www.umpquachc.org/?nav=locations,No,No,FQHC/SBHC,"1381 NW Douglas Blvd
Winston, OR 97496
(43.11898374400005, -123.42415239299999)"
Dunes Family Health Care,620 Ranch Rd,,97467,Douglas,Oregon,541-271-2163,http://www.dunesfamily.org/,Yes,Yes,RHC,"620 Ranch Rd
Reedsport, OR 97467
(43.69553069500006, -124.13581676299998)"
Eagle Point HS,203 N Platt St,,97524,Jackson,Oregon,541-830-6617,http://www.communityhealthcenter.org/Page.asp?NavID=92,No,No,FQHC/SBHC,"203 N Platt St
Eagle Point, OR 97524
(42.47147464400007, -122.80479531599997)"
Early Head Start (3 sub-sites),911 N Skidmore St,,97217,Multnomah,Oregon,503-236-9389,http://web.multco.us/,Yes,No,FQHC,"911 N Skidmore St
Portland, OR 97217
(45.55464637400007, -122.67582961199997)"
East County Health Center,600 NE 8th St,,97030,Multnomah,Oregon,503-988-5155,http://web.multco.us/health/primary-care-clinics,Yes,Yes,FQHC,"600 NE 8th St
Gresham, OR 97030
(45.50291237700003, -122.42536848399999)"
East Linn Health Center,100 Mullins Dr,Suite A-1,97355,Linn,Oregon,541-451-6920,http://www.co.benton.or.us/health/primary_care/east_linn.php,Yes,Yes,FQHC,"100 Mullins Dr
Lebanon, OR 97355
(44.549713851000035, -122.90898507899999)"
Elgin Family Health Center,1400 Division St,,97827,Union,Oregon,541-437-6321,http://www.yellowpages.com/elgin-or/mip/elgin-family-health-clinic-454113245?lid=454113245,Yes,No,RHC,"1400 Division St
Elgin, OR 97827
(45.56483254500006, -117.92390928499998)"
Ensworth ES,2150 NE Daggett Ln,,97701,Deschutes,Oregon,541-693-2222,http://www.deschutes.org/Health-Services/Public-Health/School-Based-Health-Center.aspx,No,No,SBHC,"2150 NE Daggett Ln
Bend, OR 97701
(44.07106599800005, -121.27563540699998)"
Estacada Clinic,103 SW Hwy 224,,97023,Clackamas,Oregon,503-630-5511,,,Yes,,
Estacada HS,535 NE 6th Avenue,,97023,Clackamas,Oregon,503-630-8550,http://www.esd108.org/super_docs.asp,No,No,SBHC,"535 NE 6th Avenue
Estacada, OR 97023
(45.29470657600007, -122.32977172799997)"
Evergreen ES,520 W River St,,97523,Josephine,Oregon,541-592-6491,http://www.siskiyouhealthcenter.com/locations/#schoolbased,No,Yes,FQHC/SBHC,"520 W River St
Cave Junction, OR 97523
(42.169396807000055, -123.652449521)"
Evergreen Family Medicine,2750 NW Edenbower Blvd,Suite 100,97471,Douglas,Oregon,541-677-7200,http://www.efmpc.com/,No,No,RHC,"2750 NW Edenbower Blvd
Roseburg, OR 97471
(43.24233023000005, -123.36146333499994)"
Evergreen Family Medicine South,145 NE Broadway,,97457,Douglas,Oregon,541-863-3146,http://www.efmpc.com,,Yes,,
Family Medical Clinic of Newport,130 NE 4th Street,,97365,Lincoln,Oregon,541-265-3772,,,Yes,,
Florence Outreach Office - Confed. Tribes of Coos/L. Umpqua & Siuslaw,4969 Hwy 101 N,,97439,Lane,Oregon,541-997-6685,http://www.npaihb.org/member_tribes/tribe/coos_siuslaw_and_lower_umpqua_tribes/,Yes,No,Tribal,"4969 Hwy 101 N
Florence, OR 97439
(44.00966922100008, -124.10167810999997)"
Franklin HS,5405 SE Woodward,,97206,Multnomah,Oregon,503-988-3370,http://www.pps.k12.or.us/schools/franklin/1040.htm,No,Yes,FQHC/SBHC,"5405 SE Woodward
Portland, OR 97206
(45.501426062000064, -122.60689820099998)"
Gateway Children's Center,10317 E Burnside St,,97216,Multnomah,Oregon,503.988.3663,http://freeclinicdirectory.org/detail/gateway_childrens_center_portland_or.html,No,No,FQHC,"10317 E Burnside St
Portland, OR 97216
(45.522737386000074, -122.55718952399997)"
George MS,10000 N Burr Ave,,97203,Multnomah,Oregon,503-988-3829,http://osbha.org/centers/georgemiddleschool,Yes,Yes,FQHC/SBHC,"10000 N Burr Ave
Portland, OR 97203
(45.596004073000074, -122.73738681099996)"
Gifford Medical,1050 W Elm Ave,Suite 110,97838,Umatilla,Oregon,541-567-2995,http://www.giffordmedical.com/,No,No,RHC,"1050 W Elm Ave
Hermiston, OR 97838
(45.84964665000007, -119.30997870999994)"
Gilchrist K-12,201 Mountain View Dr,,97737,Klamath,Oregon,541-433-2273,http://www.kcsd.k12.or.us/Page.asp?NavID=1430,No,No,SBHC,"201 Mountain View Dr
Gilchrist, OR 97737
(43.47735725100006, -121.68625305299997)"
Gilchrist School Based Health Center,PO Box 3300,,97739,Deschutes,Oregon,541-596-3435,http://www.lapinecc.com/,,,,
Gladstone Clinic,18911 Portland Ave,,97027,Clackamas,Oregon,503-850-4472,http://www.healthcenteror.org/locations,Yes,Yes,FQHC,"18911 Portland Ave
Gladstone, OR 97027
(45.387126429000034, -122.59917230399998)"
Good Samaritan Regional Medical Center,3600 NW Samaritan Drive,,97330,Benton,Oregon,541-768-5111,http://www.samhealth.org/locations/goodsamaritanregionalmedicalcenter/Pages/default.aspx,No,Yes,Hospital,"3600 NW Samaritan Drive
Corvallis, OR 97330
(44.603703866000046, -123.25302532399996)"
Good Shepherd Medical Center,610 NW Eleventh Street,,97838,Umatilla,Oregon,541-667-3400,http://www.gshealth.org,Yes,No,Hospital,"610 NW Eleventh Street
Hermiston, OR 97838
(45.84564938500006, -119.31090053499997)"
Good Shepherd Medical Group,600 NW Eleventh Street,,97838,Umatilla,Oregon,541-567-5305,http://gshcs.net/,Yes,No,RHC,"600 NW Eleventh Street
Hermiston, OR 97838
(45.84463814500003, -119.31090740699995)"
Grande Ronde Health & Wellness Center - Grand Ronde Confed. Tribes,9605 Grand Ronde Rd,,97347,Polk,Oregon,503-879-2236,http://www.grandronde.org/departments/health-and-wellness/,Yes,No,Tribal,"9605 Grand Ronde Rd
Grand Ronde, OR 97347
(45.073519168000075, -123.61185808999994)"
Grande Ronde Hospital,900 Sunset Drive,,97850,Union,Oregon,541-963-8421,http://www.grh.org/,No,No,Hospital,"900 Sunset Drive
La Grande, OR 97850
(45.31900935200008, -118.10477604799996)"
"Grande Ronde Hospital Union Clinic					",142 E Dearborn St,,97883,Union,Oregon,541-562-6180,http://www.ohsu.edu/xd/outreach/oregon-rural-health/clinics/clinics-directory/index.cfm#CP_JUMP_2439338,No,No,RHC,"142 E Dearborn St
Union, OR 97883
(45.20705249800005, -117.86478916199997)"
Grant County Health Department,528 E Main St,Suite E,97845,Grant,Oregon,541-575-0429,http://www.gcoregonlive2.com/svc_display.php/723,Yes,No,RHC,"528 E Main St
John Day, OR 97845
(44.41577251000007, -118.94345169199994)"
Grant HS,2245 NE 36th Ave,Suite 102,97212,Multnomah,Oregon,503-988-3372,http://osbha.org/centers/granthighschool,Yes,Yes,FQHC/SBHC,"2245 NE 36th Ave
Portland, OR 97212
(45.538158373000044, -122.62604873299995)"
Gresham/Barlow School District (23 sub-sites),1331 NW Eastman Pkwy,,97030,Multnomah,Oregon,503-618-2450,http://www.gresham.k12.or.us/,No,Yes,FQHC,"1331 NW Eastman Pkwy
Gresham, OR 97030
(45.50620531000004, -122.43534523199997)"
Harney District Hospital,557 W Washington Street,,97720,Harney,Oregon,541-573-7281,http://www.harneydh.com/,No,No,Hospital,"557 W Washington Street
Burns, OR 97720
(43.588701496000056, -119.06035989999998)"
Harrison Park K-8,2225 SE 87th Ave,,97216,Multnomah,Oregon,503-988-4577,http://osbha.org/centers/harrisonpark,No,Yes,FQHC/SBHC,"2225 SE 87th Ave
Portland, OR 97216
(45.50647984200003, -122.57427901599999)"
HIV Clinical Services,426 SW Stark St,4th Floor,97204,Multnomah,Oregon,503-988-3674 ,http://web.multco.us/health/hiv-health-services-center,Yes,Yes,FQHC,"426 SW Stark St
Portland, OR 97204
(45.520692085000064, -122.67623636699994)"
Homeless Outreach & Advocacy Project,694 Church St NE,,97301,Marion,Oregon,503-588-5827,http://www.northwesthumanservices.org/HOAP.html,Yes,No,FQHC,"694 Church St NE
Salem, OR 97301
(44.94576736700003, -123.03218411599994)"
Hooper Detoxification Stabilization Center CCC,1535 N Williams Ave,,97227,Multnomah,Oregon,503-238-2067,http://www.centralcityconcern.org/changing-lives/hooper-detoxification-center.html,Yes,No,FQHC,"1535 N Williams Ave
Portland, OR 97227
(45.53414462500007, -122.66678768099996)"
Hoover ES,1120 Savage Rd NE,,97301,Marion,Oregon,503-581-1713,http://www.wfamilymed.org/services-programes/school-based-health-center/,No,Yes,Tribal,"1120 Savage Rd NE
Salem, OR 97301
(44.944572590000064, -122.99615353399997)"
Host Youth and Family Program,1143 Liberty St NE,,97301,Marion,Oregon,503-588-5825,http://www.northwesthumanservices.org/HOST.html,No,No,FQHC,"1143 Liberty St NE
Salem, OR 97301
(44.95118486400003, -123.03419156099994)"
