"","Date.received","Product","Sub.product","Issue","Sub.issue","Consumer.complaint.narrative","Company.public.response","Company","State","ZIP.code","Tags","Consumer.consent.provided.","Submitted.via","Date.sent.to.company","Company.response.to.consumer","Timely.response.","Consumer.disputed.","Complaint.ID"
"20","7/29/2013","Credit card","Other","APR or interest rate","Other","Other","Other","Synchrony Financial","WA","98548","Other","Other","Web","7/29/2013","Closed with monetary relief","Yes","No",469131
"21","7/29/2013","Credit reporting","Other","Credit monitoring or identity protection","Problem cancelling or closing account","Other","Other","Experian","CA","90034","Other","Other","Web","7/29/2013","Closed with monetary relief","Yes","No",474204
"22","7/29/2013","Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","HI","96793","Other","Other","Web","7/31/2013","Closed with explanation","Yes","No",469138
"23","7/29/2013","Mortgage","Other mortgage","Application, originator, mortgage broker","Other","Other","Other","JPMorgan Chase & Co.","FL","32825","Other","Other","Postal mail","7/30/2013","Closed with explanation","Yes","No",469143
"24","7/29/2013","Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Other","Other","Other","Wells Fargo & Company","NY","10605","Other","Other","Web","7/31/2013","Closed with non-monetary relief","Yes","No",480173
"25","7/29/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","NY","14467","Other","Other","Referral","7/30/2013","Closed with explanation","Yes","Yes",469360
"26","7/29/2013","Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","U.S. Bancorp","CA","92591","Other","Other","Referral","7/31/2013","Closed with monetary relief","Yes","No",469632
"27","7/29/2013","Mortgage","Conventional adjustable mortgage (ARM)","Application, originator, mortgage broker","Other","Other","Other","Bank of America","IL","60443","Other","Other","Web","8/1/2013","Closed with explanation","Yes","No",469173
"28","7/29/2013","Bank account or service","Other bank product/service","Deposits and withdrawals","Other","Other","Other","Wells Fargo & Company","CA","96088","Other","Other","Web","8/1/2013","Closed with explanation","Yes","No",469185
"29","7/29/2013","Credit reporting","Other","Incorrect information on credit report","Public record","Other","Other","Equifax","CA","91605","Other","Other","Web","7/29/2013","Closed with non-monetary relief","Yes","No",469201
"30","7/29/2013","Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","Northland Group, Inc.","FL","32233","Servicemember","Other","Referral","8/1/2013","Closed with explanation","Yes","No",469252
"31","7/29/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","SunTrust Banks, Inc.","FL","32084","Other","Other","Referral","8/2/2013","Closed with non-monetary relief","Yes","No",469863
"32","7/29/2013","Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","FL","33234","Other","Other","Web","7/30/2013","Closed with non-monetary relief","Yes","No",469255
"33","7/29/2013","Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","SunTrust Banks, Inc.","FL","32505","Other","Other","Referral","8/2/2013","Closed","Yes","No",469811
"34","7/29/2013","Consumer Loan","Vehicle loan","Managing the loan or lease","Other","Other","Other","Santander Consumer USA Holdings Inc","CA","92677","Other","Other","Referral","8/5/2013","Closed","Yes","Yes",479329
"35","7/29/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Land/Home Financial Services","MI","48382","Other","Other","Fax","8/6/2013","Closed with explanation","No","Other",454668
"36","7/29/2013","Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","JPMorgan Chase & Co.","NJ","8530","Other","Other","Postal mail","7/30/2013","Closed with monetary relief","Yes","No",475273
"37","7/29/2013","Credit card","Other","Delinquent account","Other","Other","Other","Amex","TX","78232","Other","Other","Web","7/29/2013","Closed with monetary relief","Yes","No",479990
"38","7/29/2013","Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","GA","30041","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",469293
"39","7/29/2013","Bank account or service","(CD) Certificate of deposit","Account opening, closing, or management","Other","Other","Other","Wells Fargo & Company","TX","77381","Other","Other","Postal mail","7/30/2013","Closed with explanation","Yes","No",469309
"40","7/29/2013","Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","MA","2368","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",469334
"41","7/29/2013","Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","CIT Bank National Association","NY","11101","Other","Other","Web","7/31/2013","Closed with explanation","Yes","No",469487
"42","7/29/2013","Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Bank of America","CA","91701","Other","Other","Web","8/1/2013","Closed with explanation","Yes","No",469394
"43","7/29/2013","Debt collection","I do not know","Communication tactics","Frequent or repeated calls","Other","Other","Alpine Financial Solutions, Inc.","KY","42303","Older American","Other","Postal mail","12/4/2013","Closed with explanation","Yes","No",469408
"44","7/29/2013","Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Ditech Financial LLC","TN","37218","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",469411
"45","7/29/2013","Bank account or service","Checking account","Problems caused by my funds being low","Other","Other","Other","Wells Fargo & Company","NJ","8618","Older American","Other","Phone","7/30/2013","Closed with explanation","Yes","No",469414
"46","7/29/2013","Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Citibank","GA","30135","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",469423
"47","7/29/2013","Credit reporting","Other","Improper use of my credit report","Report improperly shared by CRC","Other","Other","Equifax","MO","64725","Other","Other","Fax","7/29/2013","Closed with explanation","Yes","No",479282
"48","7/29/2013","Mortgage","Conventional fixed mortgage","Settlement process and costs","Other","Other","Other","U.S. Bancorp","MN","55414","Other","Other","Web","8/1/2013","Closed with non-monetary relief","Yes","No",469428
"49","7/29/2013","Credit card","Other","Billing disputes","Other","Other","Other","Capital One","FL","32226","Servicemember","Other","Web","7/29/2013","Closed with explanation","Yes","No",475777
"50","8/18/2013","Credit card","Other","Rewards","Other","Other","Other","Citibank","MD","21921","Other","Other","Web","8/18/2013","Closed with non-monetary relief","Yes","No",494644
"51","8/3/2013","Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","BB&T Financial","FL","34470","Other","Other","Postal mail","8/6/2013","Closed with explanation","Yes","No",473528
"52","8/3/2013","Credit card","Other","Billing disputes","Other","Other","Other","Capital One","FL","34747","Other","Other","Web","8/5/2013","Closed with explanation","Yes","Yes",474046
"53","8/22/2013","Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","OH","43420","Older American","Other","Web","8/22/2013","Closed with explanation","Yes","No",499882
"54","8/3/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","IN","47909","Other","Other","Web","8/6/2013","Closed with explanation","Yes","No",473534
"55","8/22/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","FL","34984","Other","Other","Referral","8/23/2013","Closed with explanation","Yes","No",500761
"56","8/3/2013","Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","BMO Harris","MO","63130","Other","Other","Fax","8/7/2013","Closed with explanation","Yes","Yes",473539
"57","8/8/2013","Credit reporting","Other","Credit reporting company's investigation","No notice of investigation status/result","Other","Other","TransUnion Intermediate Holdings, Inc.","TN","37343","Other","Other","Web","8/8/2013","Closed with explanation","Yes","No",482775
"58","8/8/2013","Consumer Loan","Personal line of credit","Account terms and changes","Other","Other","Other","OneMain Financial Holdings, LLC","CA","92325","Other","Other","Web","8/12/2013","Closed with explanation","Yes","No",484149
"59","8/22/2013","Mortgage","VA mortgage","Credit decision / Underwriting","Other","Other","Other","JPMorgan Chase & Co.","WA","98327","Servicemember","Other","Referral","8/23/2013","Closed with explanation","Yes","Yes",500824
"60","8/15/2013","Credit reporting","Other","Incorrect information on credit report","Account terms","Other","Other","Experian","CA","91320","Other","Other","Web","8/15/2013","Closed with non-monetary relief","Yes","No",488809
"61","8/8/2013","Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","AZ","85746","Other","Other","Web","8/12/2013","Closed with explanation","Yes","Yes",484151
"62","8/22/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","WA","98006","Other","Other","Postal mail","8/22/2013","Closed with explanation","Yes","No",499893
"63","8/15/2013","Credit reporting","Other","Improper use of my credit report","Report improperly shared by CRC","Other","Other","Experian","TX","76063","Servicemember","Other","Web","8/15/2013","Closed with explanation","Yes","No",489853
"64","7/26/2013","Consumer Loan","Personal line of credit","Shopping for a line of credit","Other","Other","Other","OneMain Financial Holdings, LLC","OR","97023","Other","Other","Web","7/29/2013","Closed with explanation","Yes","No",468065
"65","8/15/2013","Debt collection","Credit card","Improper contact or sharing of info","Contacted me after I asked not to","Other","Other","Resurgent Capital Services L.P.","GA","30350","Other","Other","Web","8/14/2013","Closed with non-monetary relief","Yes","No",488925
"66","8/15/2013","Credit card","Other","Transaction issue","Other","Other","Other","Discover","FL","33760","Other","Other","Web","8/14/2013","Closed with monetary relief","Yes","No",489855
"67","8/22/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","MA","1351","Older American","Other","Phone","8/30/2013","Closed with non-monetary relief","Yes","No",499902
"68","8/15/2013","Credit card","Other","Transaction issue","Other","Other","Other","Amex","PA","17601","Other","Other","Web","8/15/2013","Closed with explanation","Yes","Yes",489862
"69","8/15/2013","Mortgage","FHA mortgage","Settlement process and costs","Other","Other","Other","Primary Residential Mortgage","GA","31047","Other","Other","Web","8/20/2013","Closed with explanation","Yes","Yes",489651
"70","8/8/2013","Debt collection","Mortgage","Disclosure verification of debt","Not given enough info to verify debt","Other","Other","ProCollect, Inc","IN","46290","Other","Other","Web","8/14/2013","Closed with explanation","Yes","Yes",484166
"71","7/26/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","WA","98106","Other","Other","Web","7/30/2013","Closed with non-monetary relief","Yes","No",475021
"72","8/3/2013","Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","JPMorgan Chase & Co.","FL","32824","Other","Other","Web","8/7/2013","Closed with monetary relief","Yes","No",473593
"73","8/22/2013","Debt collection","Other (i.e. phone, health club, etc.)","Taking/threatening an illegal action","Threatened arrest/jail if do not pay","Other","Other","Bank of America","NC","27541","Other","Other","Web","8/22/2013","Closed with explanation","Yes","No",499910
"74","8/8/2013","Credit card","Other","Advertising and marketing","Other","Other","Other","Citibank","NC","28277","Other","Other","Web","8/8/2013","Closed with non-monetary relief","Yes","No",484173
"75","8/15/2013","Debt collection","Non-federal student loan","Improper contact or sharing of info","Contacted me after I asked not to","Other","Other","Performant Financial Corporation","CA","94107","Other","Other","Web","8/20/2013","Closed with explanation","Yes","No",489867
"76","8/15/2013","Mortgage","Conventional adjustable mortgage (ARM)","Loan servicing, payments, escrow account","Other","Other","Other","Citibank","CA","91381","Other","Other","Web","8/19/2013","Closed with explanation","Yes","No",489868
"77","8/2/2013","Consumer Loan","Vehicle loan","Problems when you are unable to pay","Other","Other","Other","Toyota Motor Credit Corporation","NJ","7080","Older American","Other","Web","8/5/2013","Closed with explanation","Yes","No",472752
"78","8/8/2013","Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Navy FCU","VA","22044","Other","Other","Phone","8/12/2013","Closed with explanation","Yes","No",484178
"79","8/8/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","NY","11236","Other","Other","Web","8/12/2013","Closed with explanation","Yes","Yes",484177
"80","8/8/2013","Mortgage","Conventional adjustable mortgage (ARM)","Loan servicing, payments, escrow account","Other","Other","Other","JPMorgan Chase & Co.","CA","90638","Older American","Other","Web","8/12/2013","Closed with explanation","Yes","No",484180
"81","7/26/2013","Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Experian","SC","29601","Other","Other","Referral","8/14/2013","Closed with explanation","Yes","No",468098
"82","8/3/2013","Debt collection","Other (i.e. phone, health club, etc.)","Communication tactics","Used obscene/profane/abusive language","Other","Other","Tower Loan","MO","63021","Other","Other","Postal mail","9/24/2013","Closed with explanation","Yes","No",473623
"83","8/15/2013","Mortgage","Home equity loan or line of credit","Credit decision / Underwriting","Other","Other","Other","Ditech Financial LLC","AZ","86312","Other","Other","Web","8/20/2013","Closed with explanation","Yes","No",489870
"84","8/15/2013","Mortgage","FHA mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Nationstar Mortgage","UT","84043","Other","Other","Web","8/19/2013","Closed with explanation","Yes","Yes",489871
"85","8/15/2013","Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Citibank","CA","90712","Other","Other","Referral","8/16/2013","Closed with explanation","Yes","No",490420
"86","8/2/2013","Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","Equifax","AZ","85122","Other","Other","Postal mail","8/26/2013","Closed with non-monetary relief","Yes","No",472762
"87","7/26/2013","Mortgage","Home equity loan or line of credit","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","CA","92130","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",458142
"88","8/3/2013","Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","Expert Global Solutions, Inc.","PA","19403","Other","Other","Referral","8/9/2013","Closed with explanation","Yes","No",473628
"89","7/26/2013","Credit card","Other","Billing disputes","Other","Other","Other","Capital One","TN","38363","Other","Other","Referral","7/29/2013","Closed with explanation","Yes","Yes",468120
"90","8/15/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","FL","33467","Servicemember","Other","Referral","8/16/2013","Closed with explanation","Yes","No",490355
"91","8/15/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","CA","91344","Other","Other","Referral","8/16/2013","Closed with explanation","Yes","No",490389
"92","8/15/2013","Credit card","Other","Billing disputes","Other","Other","Other","JPMorgan Chase & Co.","NC","28601","Other","Other","Referral","8/16/2013","Closed with non-monetary relief","Yes","Yes",490446
"93","8/3/2013","Credit card","Other","APR or interest rate","Other","Other","Other","Barclays PLC","MA","2130","Older American","Other","Web","8/3/2013","Closed with explanation","Yes","No",473632
"94","8/15/2013","Mortgage","Home equity loan or line of credit","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","NY","11420","Other","Other","Web","8/16/2013","Closed with explanation","Yes","No",489872
"95","8/8/2013","Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","Experian","HI","96786","Servicemember","Other","Web","8/8/2013","Closed with explanation","Yes","No",484187
"96","8/3/2013","Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","GA","31721","Other","Other","Web","8/6/2013","Closed with explanation","Yes","No",481084
"97","8/2/2013","Credit card","Other","Billing disputes","Other","Other","Other","Bank of America","MA","1913","Older American","Other","Web","8/12/2013","Closed with explanation","Yes","No",472772
"98","8/2/2013","Credit card","Other","Rewards","Other","Other","Other","Citibank","CT","6067","Other","Other","Web","8/2/2013","Closed with monetary relief","Yes","Yes",472776
"99","8/3/2013","Mortgage","Conventional fixed mortgage","Credit decision / Underwriting","Other","Other","Other","Nationstar Mortgage","NY","11743","Other","Other","Web","8/8/2013","Closed with explanation","Yes","Yes",480872
"100","8/3/2013","Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Other","Other","Other","Wells Fargo & Company","CA","91303","Older American","Other","Web","8/6/2013","Closed with explanation","Yes","No",481086
"101","9/6/2013","Debt collection","I do not know","Improper contact or sharing of info","Talked to a third party about my debt","Other","Other","Receivables Performance Management LLC","IL","62557","Other","Other","Web","9/9/2013","Closed with explanation","Yes","No",518114
"102","9/18/2013","Student loan","Non-federal student loan","Problems when you are unable to pay","Problems when you are unable to pay","Other","Other","AES/PHEAA","MI","48073","Other","Other","Web","9/18/2013","Closed with explanation","Yes","Yes",531932
"103","9/12/2013","Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Ditech Financial LLC","NJ","7002","Other","Other","Web","9/12/2013","Closed with explanation","Yes","No",525140
"104","9/18/2013","Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Bank of America","FL","33161","Other","Other","Web","9/18/2013","Closed with non-monetary relief","Yes","No",531942
"105","9/18/2013","Mortgage","Home equity loan or line of credit","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","FL","33071","Other","Other","Web","9/18/2013","Closed with explanation","Yes","No",531948
"106","9/12/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ditech Financial LLC","TX","78641","Other","Other","Referral","10/28/2013","Closed with explanation","Yes","Yes",524856
"107","9/12/2013","Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Quicken Loans","NC","27529","Other","Other","Web","9/12/2013","Closed with explanation","Yes","No",524617
"108","9/18/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","CA","94118","Older American","Other","Web","9/18/2013","Closed with explanation","Yes","Yes",531957
"109","9/18/2013","Bank account or service","Checking account","Problems caused by my funds being low","Other","Other","Other","Citibank","CA","90025","Other","Other","Web","9/18/2013","Closed with monetary relief","Yes","No",531958
"110","9/18/2013","Consumer Loan","Installment loan","Shopping for a loan or lease","Other","Other","Other","Citibank","CA","90211","Other","Other","Web","9/19/2013","Closed with explanation","Yes","Yes",533286
"111","9/18/2013","Credit reporting","Other","Credit reporting company's investigation","No notice of investigation status/result","Other","Other","TransUnion Intermediate Holdings, Inc.","CA","95678","Other","Other","Web","9/18/2013","Closed with explanation","Yes","No",531807
"112","9/12/2013","Credit reporting","Other","Credit reporting company's investigation","No notice of investigation status/result","Other","Other","Experian","MI","48504","Other","Other","Postal mail","9/30/2013","Closed with explanation","Yes","Yes",525163
"113","9/12/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","MI","48382","Other","Other","Fax","9/12/2013","Closed with non-monetary relief","Yes","No",524503
"114","9/18/2013","Bank account or service","Checking account","Making/receiving payments, sending money","Other","Other","Other","PNC Bank N.A.","DE","19977","Other","Other","Postal mail","9/19/2013","Closed with explanation","Yes","Yes",531976
"115","9/12/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","NC","27406","Other","Other","Web","9/12/2013","Closed with non-monetary relief","Yes","Yes",525171
"116","9/18/2013","Credit card","Other","Credit line increase/decrease","Other","Other","Other","Citibank","ID","83647","Other","Other","Postal mail","9/18/2013","Closed with explanation","Yes","No",531978
"117","9/18/2013","Debt collection","Other (i.e. phone, health club, etc.)","Taking/threatening an illegal action","Threatened to sue on too old debt","Other","Other","North American Asset Services, LLC","FL","32877","Other","Other","Web","9/18/2013","Closed with explanation","Yes","Yes",531979
"118","9/18/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Synovus Bank","GA","31602","Other","Other","Postal mail","9/19/2013","Closed with explanation","Yes","No",531985
"119","9/18/2013","Credit card","Other","Application processing delay","Other","Other","Other","Wells Fargo & Company","NY","11106","Other","Other","Web","9/18/2013","Closed with explanation","Yes","Yes",533277
"120","9/18/2013","Bank account or service","Checking account","Problems caused by my funds being low","Other","Other","Other","BB&T Financial","SC","29483","Other","Other","Referral","9/19/2013","Closed with monetary relief","Yes","No",532050
"121","9/6/2013","Credit card","Other","Other","Other","Other","Other","Bank of America","CA","94595","Other","Other","Referral","9/9/2013","Closed with explanation","Yes","No",517225
"122","9/18/2013","Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Ocwen","KY","40272","Other","Other","Web","9/19/2013","Closed with explanation","Yes","No",531994
"123","9/6/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","CA","91701","Other","Other","Referral","9/13/2013","Closed with explanation","Yes","No",517227
"124","9/18/2013","Debt collection","I do not know","Taking/threatening an illegal action","Seized/Attempted to seize property","Other","Other","Linebarger Goggan Blair & Sampson, LLP","PA","19144","Older American","Other","Web","10/7/2013","Closed with explanation","Yes","Yes",532005
"125","9/18/2013","Credit reporting","Other","Credit reporting company's investigation","No notice of investigation status/result","Other","Other","Experian","NC","28560","Other","Other","Web","9/19/2013","Closed with non-monetary relief","Yes","No",533657
"126","9/6/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","NJ","8527","Servicemember","Other","Phone","9/9/2013","Closed with explanation","Yes","No",518189
"127","9/6/2013","Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","Turning Point Solutions LLC","TX","76010","Older American","Other","Web","9/6/2013","Closed with non-monetary relief","Yes","No",518191
"128","9/18/2013","Credit reporting","Other","Credit reporting company's investigation","Problem with statement of dispute","Other","Other","Equifax","MS","39572","Other","Other","Web","9/18/2013","Closed with non-monetary relief","Yes","Yes",532010
"129","9/18/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","MN","56303","Other","Other","Referral","9/19/2013","Closed with explanation","Yes","No",533236
"130","9/12/2013","Debt collection","Non-federal student loan","Communication tactics","Used obscene/profane/abusive language","Other","Other","CL Holdings, LLC","GA","30043","Other","Other","Web","9/13/2013","Closed with explanation","Yes","No",525238
"131","9/12/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","HI","96815","Other","Other","Postal mail","9/12/2013","Closed with explanation","Yes","No",524600
"132","9/12/2013","Debt collection","Non-federal student loan","Communication tactics","Used obscene/profane/abusive language","Other","Other","Asset Recovery Solutions, LLC","GA","30043","Other","Other","Web","10/9/2013","Closed with non-monetary relief","No","Other",525237
"133","9/18/2013","Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","MD","20853","Other","Other","Web","9/19/2013","Closed with explanation","Yes","No",533265
"134","9/12/2013","Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","Encore Capital Group","CA","95037","Other","Other","Web","9/14/2013","Closed with explanation","Yes","No",524591
"135","9/12/2013","Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Wells Fargo & Company","UT","84065","Other","Other","Web","9/12/2013","Closed with explanation","Yes","Yes",525254
"136","9/12/2013","Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","Pinnacle Credit Services, LLC","CA","95037","Other","Other","Web","9/14/2013","Closed with explanation","Yes","No",524592
"137","9/18/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","FL","33607","Other","Other","Referral","9/19/2013","Closed","Yes","No",532172
"138","9/18/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","FL","33025","Other","Other","Referral","9/19/2013","Closed with explanation","Yes","Yes",533247
"139","9/6/2013","Bank account or service","Other bank product/service","Account opening, closing, or management","Other","Other","Other","Bank of America","CA","90405","Other","Other","Referral","9/9/2013","Closed with explanation","Yes","Yes",516966
"140","9/6/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","NY","11788","Other","Other","Web","9/9/2013","Closed with explanation","Yes","Yes",518475
