VentureFirm,Date,StartUp,Investment
Norwest,12/1/2014,Casper,$13.1M / Series A
Norwest,12/1/2014,Bitglass,$25M / Series B
Norwest,12/1/2014,Threadflip,$13M / Series B (Lead)
Norwest,10/1/2014,Capillary Technologies,$14M / Series B (Lead)
Norwest,10/1/2014,Avere Systems,$20M / Series D
Norwest,9/1/2014,Mblox,$43.5M / Debt Financing
Norwest,9/1/2014,Exabeam,$10M / Series A (Lead)
Norwest,8/1/2014,Fashion & You,$10M / Series D
Norwest,8/1/2014,Pepperfry.com,$15M / Series C
Norwest,8/1/2014,true[x],$6M / Series D
Norwest,8/1/2014,Motif Investing,$35M / Series D
Norwest,8/1/2014,Udemy,$32M / Series C (Lead)
Norwest,7/1/2014,CRMNEXT,$7M / Series A
Norwest,7/1/2014,Good.Co,$750k / Seed
Norwest,#REF!,Apigee,$60M / Venture
Norwest,7/1/2014,Yatra,$23M / Series E
Norwest,6/1/2014,Act-On Software,$42M / Venture
Norwest,6/1/2014,Quikr,$90M / Series F
Norwest,5/1/2014,iCardiac Technologies,undisclosed amount /Undisclosed
Norwest,5/1/2014,Shape Security,$40M / Series C (Lead)
Norwest,5/1/2014,Palerra Inc.,$8M / Series A
Norwest,5/1/2014,RiseSmart,$11M / Venture
Norwest,5/1/2014,"Madison Reed, Inc.",$12M / Series B (Lead)
Norwest,5/1/2014,Health Catalyst,$41M / Series C
Norwest,4/1/2014,iProf Learning Solutions,$9M / Series B
Norwest,4/1/2014,Casper,$1.85M / Seed
Norwest,4/1/2014,Turn,$80M / Series E
Norwest,3/1/2014,Bracket Computing,$62.6M / Series B
Felicis Ventures,12/1/2015,Ascend.io,$4M / Seed
Felicis Ventures,12/1/2015,Bluecore,$21M / Series B
Felicis Ventures,11/1/2015,Luma,$3.5M / Seed
Felicis Ventures,10/1/2015,Canva,$15M / Series A (Lead)
Felicis Ventures,9/1/2015,Triplebyte,$3M / Venture
Felicis Ventures,9/1/2015,Walker & Company Brands,$24M / Series B
Felicis Ventures,9/1/2015,Civitas Learning,$60M / Series D
Felicis Ventures,9/1/2015,Clear Labs,$6.5M / Series A
Felicis Ventures,8/1/2015,Fluxx,$10.2M / Series A (Lead)
Felicis Ventures,8/1/2015,Kahuna,$45M / Series B
Felicis Ventures,8/1/2015,PeerStreet,$6.1M / Seed
Felicis Ventures,8/1/2015,Flexport,$20M / Series A
Felicis Ventures,8/1/2015,BRIGHT,$4M / Seed
Felicis Ventures,7/1/2015,Ginkgo Bioworks,$45M / Series B
Felicis Ventures,7/1/2015,Cymmetria,$1.5M / Seed
Felicis Ventures,6/1/2015,Matterport,$30M / Series C
Felicis Ventures,6/1/2015,Sano,$6.5M / Seed
Felicis Ventures,5/1/2015,"Switch Communications, Inc.",$35M / Series C
Felicis Ventures,5/1/2015,eduK,$10M / Series B
Felicis Ventures,5/1/2015,InteraXon,$10M / Series B
Felicis Ventures,5/1/2015,Inkling Systems,$15M / Series D
Felicis Ventures,4/1/2015,Mobile Action,$2M / Seed (Lead)
Felicis Ventures,4/1/2015,CodeFights,$2.4M / Seed
Felicis Ventures,3/1/2015,Ginkgo Bioworks,$9M / Series A
Felicis Ventures,3/1/2015,Greenhouse Software,$13.9M / Series B
Felicis Ventures,3/1/2015,Culture Amp,$6.3M / Series A (Lead)
Felicis Ventures,2/1/2015,Emailage,$3.8M / Series A (Lead)
Felicis Ventures,2/1/2015,Pindrop,$35M / Series B
Felicis Ventures,1/1/2015,Insensi,$2.4M / Seed
Felicis Ventures,1/1/2015,Bluecore,$6M / Series A
Felicis Ventures,1/1/2015,Civitas Learning,$16.2M / Series C
Felicis Ventures,1/1/2015,Planet Labs,$70M / Series C
Felicis Ventures,12/1/2014,First Opinion,$6M / Series A
Felicis Ventures,12/1/2014,Adyen,$250M / Venture
Felicis Ventures,10/1/2014,Snowball,$2.3M / Seed
Felicis Ventures,8/1/2014,Pluralsight,$135M / Series B
Felicis Ventures,8/1/2014,Swift Navigation,$2.6M / Seed
Felicis Ventures,8/1/2014,Mark One,$3M / Seed (Lead)
Felicis Ventures,8/1/2014,Greenhouse Software,$7.5M / Series A
Felicis Ventures,8/1/2014,Weddington Way,$9M / Series A
Felicis Ventures,7/1/2014,Activehours,$4.1M / Seed (Lead)
Felicis Ventures,7/1/2014,Mobile Action,$805k / Seed
Felicis Ventures,7/1/2014,Matterport,$16M / Series B
Felicis Ventures,7/1/2014,Opendoor,$9.95M / Series A
Felicis Ventures,7/1/2014,Bonobos,$55M / Series D
Felicis Ventures,6/1/2014,Mattermark,$2M / Seed
Felicis Ventures,5/1/2014,Grove Labs,$2.05M / Seed
Felicis Ventures,5/1/2014,Smartling,$25M / Series D
Felicis Ventures,5/1/2014,Survios,$4.2M / Series A
Felicis Ventures,5/1/2014,First Opinion,$1.4M / Seed
Felicis Ventures,5/1/2014,BitPay,$30M / Series A
Felicis Ventures,5/1/2014,Counsyl,$41.5M / Series D
Felicis Ventures,5/1/2014,Allclasses,$1.5M / Seed
Felicis Ventures,4/1/2014,Sols,$6.4M / Series A
Felicis Ventures,4/1/2014,Rigetti Quantum Computing,$2.5M / Seed
Felicis Ventures,4/1/2014,Savioke,$2M / Seed
Felicis Ventures,3/1/2014,RelateIQ,$40M / Series C
Felicis Ventures,3/1/2014,Vicarious,$40M / Series B
Felicis Ventures,3/1/2014,LeanData,$5.1M / Series A
Felicis Ventures,2/1/2014,Iodine,$2.5M / Seed
Felicis Ventures,2/1/2014,ClearSlide,$50M / Series C
Felicis Ventures,2/1/2014,Granular,$6.2M / Series A
Felicis Ventures,1/1/2014,ALOHA,$4.5M / Seed
Felicis Ventures,1/1/2014,Twice,$18.5M / Series B
Felicis Ventures,1/1/2014,First Opinion,$1.2M / Seed (Lead)
Felicis Ventures,1/1/2014,Scaled Inference,$5.6M / Seed
True Ventures,12/1/2015,Gradle,$4.2M / Seed (Lead)
True Ventures,11/1/2015,SonicSensory,$6M / Series A (Lead)
True Ventures,11/1/2015,Deep Genomics,$3.7M / Seed (Lead)
True Ventures,11/1/2015,Athos,$35M / Series C
True Ventures,11/1/2015,Iceye,$2.8M / Series A (Lead)
True Ventures,10/1/2015,Connectifier,$6M / Series B
True Ventures,10/1/2015,Howdy,$1.5M / Seed
True Ventures,10/1/2015,Stitch Labs,$15M / Series B
True Ventures,10/1/2015,Hatch Baby,$7M / Series A (Lead)
True Ventures,10/1/2015,Cloverpop,$1.8M / Seed
True Ventures,9/1/2015,Molio Inc.,$1M / Debt Financing
True Ventures,9/1/2015,"Madison Reed, Inc.",$16.1M / Series C
True Ventures,9/1/2015,"Lumity, Inc.",$14M / Series A
True Ventures,9/1/2015,Datos IO,$12.5M / Series A (Lead)
True Ventures,8/1/2015,Everywear Games,$2.25M / Venture (Lead)
True Ventures,7/1/2015,SlamData,$3.63M / Seed (Lead)
True Ventures,7/1/2015,littleBits Electronics,$46.74M / Series B
True Ventures,7/1/2015,UXPin,$5M / Series A (Lead)
True Ventures,6/1/2015,"Vital Labs, Inc.",$3.38M / Seed
True Ventures,6/1/2015,Sano,$6.5M / Seed
True Ventures,6/1/2015,Namely,$45M / Series C
True Ventures,6/1/2015,Connectifier,$4.1M / Series A (Lead)
True Ventures,6/1/2015,Zymergen,$44M / Series A
True Ventures,6/1/2015,TripleLift,$10.5M / Series B
True Ventures,6/1/2015,KryptonCloud,$2.7M / Seed
True Ventures,6/1/2015,Blue Bottle Coffee,$70M / Series C
True Ventures,6/1/2015,Hedvig,$18M / Series B
True Ventures,5/1/2015,Glowforge,$9M / Series A (Lead)
True Ventures,5/1/2015,Directly,$10M / Series A (Lead)
True Ventures,5/1/2015,Health Gorilla,$2.41M / Series A
True Ventures,4/1/2015,Peloton,$30M / Series C
True Ventures,4/1/2015,Tray,$2.2M / Seed (Lead)
True Ventures,4/1/2015,Duo Security,$30M / Series C
True Ventures,4/1/2015,NPM,$8M / Series A (Lead)
True Ventures,3/1/2015,ProsperWorks,$7.5M / Series A (Lead)
True Ventures,3/1/2015,Hedvig,$10M / Series A
True Ventures,3/1/2015,Twin Prime,$9.5M / Series A (Lead)
True Ventures,3/1/2015,Operable,$2.7M / Seed (Lead)
True Ventures,3/1/2015,Namely,$11M / Venture
True Ventures,3/1/2015,Urban Airship,$20.93M / Series D
True Ventures,3/1/2015,Ring,$5.5M / Series A (Lead)
True Ventures,2/1/2015,High Fidelity,$11M / Series B
True Ventures,2/1/2015,3D Robotics,$50M / Series C
True Ventures,2/1/2015,Metamarkets,$15M / Series C
True Ventures,2/1/2015,Urban Airship,$9M / Series D
True Ventures,2/1/2015,NoRedInk,$6M / Series A (Lead)
True Ventures,2/1/2015,Molio Inc.,$3M / Series A
True Ventures,1/1/2015,North Technologies,$5M / Seed (Lead)
True Ventures,12/1/2014,Ginger.io,$20M / Series B
True Ventures,12/1/2014,First Opinion,$6M / Series A
True Ventures,12/1/2014,HashiCorp,$10M / Series A
True Ventures,12/1/2014,ToyTalk,$15M / Series C
True Ventures,12/1/2014,Veniam,$4.9M / Series A (Lead)
True Ventures,11/1/2014,Evident.io,$9.9M / Series A
True Ventures,11/1/2014,Namely,$12M / Series B
True Ventures,10/1/2014,Flint,$9.4M / Series C
True Ventures,10/1/2014,Loggly,$15M / Series C
True Ventures,9/1/2014,MoviePass,$2.2M / Series A
True Ventures,9/1/2014,Duo Security,$12M / Series B
True Ventures,9/1/2014,Splice,$4.5M / Series A (Lead)
True Ventures,9/1/2014,Renovo Motors,undisclosed amount /Undisclosed
True Ventures,9/1/2014,Narrative,$8M / Series B
True Ventures,8/1/2014,Stitch Labs,$3.5M / Venture
True Ventures,8/1/2014,Health Gorilla,$1.5M / Seed (Lead)
True Ventures,8/1/2014,B-Stock Solutions,$7M / Series B
True Ventures,8/1/2014,Athos,$12.2M / Series B
True Ventures,7/1/2014,Neon Labs,$4.1M / Series A
True Ventures,7/1/2014,Datos IO,$2.75M / Seed (Lead)
True Ventures,7/1/2014,Streetline,$10M / Series D
True Ventures,6/1/2014,Helpshift,$10M / Series A
True Ventures,6/1/2014,Soundhawk Corporation,$5.5M / Series B
True Ventures,6/1/2014,Puppet Labs,$40M / Series E
True Ventures,6/1/2014,Namely,$4.7M / Venture
True Ventures,6/1/2014,Qualaroo,$5M / Series A
True Ventures,6/1/2014,Valencell,$7M / Series C
True Ventures,6/1/2014,about.me,$11M / Series B
True Ventures,6/1/2014,Concurrent Inc,$10M / Series B
True Ventures,5/1/2014,Message Bus,$4M / Venture (Lead)
True Ventures,5/1/2014,Storehouse,$7M / Series A
True Ventures,5/1/2014,First Opinion,$1.4M / Seed
True Ventures,5/1/2014,Automattic,$160M / Series C
True Ventures,5/1/2014,AccessPay,undisclosed amount /Series A
True Ventures,4/1/2014,Understory,$1.9M / Seed (Lead)
True Ventures,4/1/2014,Trippy,$3.5M / Series A
True Ventures,4/1/2014,Runscope,$6M / Series A
True Ventures,4/1/2014,Kiip,$4.28M / Series B
True Ventures,3/1/2014,High Fidelity,$2.5M / Venture
True Ventures,3/1/2014,TripleLift,$4M / Series A (Lead)
True Ventures,3/1/2014,Caspida,$9.52M / Series A (Lead)
True Ventures,2/1/2014,Smarterer,$1.6M / Seed
True Ventures,2/1/2014,Spree Commerce,$5M / Series A
True Ventures,2/1/2014,Kairos AR,$1.2M / Series A
True Ventures,2/1/2014,Quarterly,$1.25M / Series A
True Ventures,2/1/2014,Gigaom,$8M / Series F
True Ventures,2/1/2014,NPM,$2.6M / Seed (Lead)
True Ventures,2/1/2014,Blue Bottle Coffee,$25.7M / Series B
True Ventures,2/1/2014,PayNearMe,$20M / Series E
True Ventures,1/1/2014,"Piston Cloud Computing, Inc.",$6.4M / Series B (Lead)
True Ventures,1/1/2014,"Madison Reed, Inc.",$12M / Series B
True Ventures,1/1/2014,Storehouse,$1.5M / Seed
Kliener Perkins,12/1/2015,True North Therapeutics,$40M / Series C
Kliener Perkins,11/1/2015,AppDynamics,$158M / Series F
Kliener Perkins,11/1/2015,Align Commerce,$12.5M / Series A (Lead)
Kliener Perkins,11/1/2015,Relayr,$11M / Series A
Kliener Perkins,11/1/2015,Turo,$47M / Series C (Lead)
Kliener Perkins,10/1/2015,Desktop Metal,$14M / Series A
Kliener Perkins,10/1/2015,IronNet Cybersecurity,$32.5M / Series A
Kliener Perkins,10/1/2015,Bit9,$54.5M / Series F
Kliener Perkins,10/1/2015,Chime,$1.2M / Seed
Kliener Perkins,10/1/2015,Segment,$27M / Series B
Kliener Perkins,10/1/2015,Hixme Inc,$10.5M / Series A (Lead)
Kliener Perkins,10/1/2015,Newsela,$15M / Series B (Lead)
Kliener Perkins,10/1/2015,Elcelyx Therapeutics,$40M / Series E
Kliener Perkins,9/1/2015,aboutLife,$3M / Series A
Kliener Perkins,9/1/2015,Crossbar,$35M / Series D
Kliener Perkins,9/1/2015,Apperian,$12M / Series C
Kliener Perkins,9/1/2015,Mobcrush,$11M / Series A (Lead)
Kliener Perkins,8/1/2015,ServiceMax,$82M / Series F
Kliener Perkins,8/1/2015,Coursera,$49.5M / Series C
Kliener Perkins,8/1/2015,AlienVault,$52M / Series E
Kliener Perkins,8/1/2015,Zephyr Health,$17.48M / Series C
Kliener Perkins,8/1/2015,Agrivida,$10.7M / Series D
Kliener Perkins,8/1/2015,Datameer,$40M / Series E
Kliener Perkins,8/1/2015,Solexel,$70M / Series D
Kliener Perkins,8/1/2015,Enjoy,$50M / Venture
Kliener Perkins,8/1/2015,Leanplum,$11.6M / Series B
Kliener Perkins,7/1/2015,Stripe,$90M / Series C
Kliener Perkins,7/1/2015,Flipagram,$70M / Series B
Kliener Perkins,6/1/2015,Airbnb,$1.5B / Private Equity
Kliener Perkins,6/1/2015,Zumper,$6.4M / Series A (Lead)
Kliener Perkins,6/1/2015,Autonomic Technologies,$43.2M / Series D
Kliener Perkins,6/1/2015,Transphorm,$70M / Undisclosed
Kliener Perkins,6/1/2015,Duolingo,$45M / Series D
Kliener Perkins,6/1/2015,FullStory,$10.7M / Series A
Kliener Perkins,5/1/2015,Farmers Business Network,$15M / Series B
Kliener Perkins,5/1/2015,Xiu.com,$30M / Series C
Kliener Perkins,5/1/2015,Instart Logic,$43M / Venture
Kliener Perkins,5/1/2015,Autonomic Technologies,$38M / Series D
Kliener Perkins,5/1/2015,SessionM,$12M / Series C
Kliener Perkins,4/1/2015,Rapid Micro Biosystems,$25M / Series C
Kliener Perkins,4/1/2015,Shyp,$50M / Series B (Lead)
Kliener Perkins,4/1/2015,Slack,$160M / Series E
Kliener Perkins,4/1/2015,Livongo Health,$20M / Series B (Lead)
Kliener Perkins,4/1/2015,True North Therapeutics,$35M / Series B
Kliener Perkins,4/1/2015,Gusto,$60M / Series B
Kliener Perkins,4/1/2015,CoreOS,$12M / Series A
Kliener Perkins,3/1/2015,DoorDash,$40M / Series B (Lead)
Kliener Perkins,3/1/2015,textPlus,$6.9M / Venture
Kliener Perkins,3/1/2015,Ayasdi,$55M / Series C (Lead)
Kliener Perkins,3/1/2015,Spruce Health,$15M / Series A
Kliener Perkins,3/1/2015,InsideSales.com,$60.65M / Series D
Kliener Perkins,3/1/2015,SimpliVity,$175M / Series D
Kliener Perkins,3/1/2015,Stance,$50M / Series C
Kliener Perkins,2/1/2015,Shazam,$30M / Series F
Kliener Perkins,2/1/2015,Synack,$25M / Series B
Kliener Perkins,2/1/2015,Invuity,$20M / Private Equity
Kliener Perkins,2/1/2015,Qumulo,$40M / Series B (Lead)
Kliener Perkins,1/1/2015,Tradesy,$30M / Series B (Lead)
Kliener Perkins,1/1/2015,Bloom Energy,$130M / Private Equity
Kliener Perkins,1/1/2015,Ionic Security,$40.1M / Series C
Kliener Perkins,1/1/2015,Agrivida,$12.35M / Series D
Kliener Perkins,12/1/2014,Snapchat,$485M / Series D (Lead)
Kliener Perkins,12/1/2014,Instacart,$220M / Series C (Lead)
Kliener Perkins,12/1/2014,3-V Biosciences,$28.5M / Series D (Lead)
Kliener Perkins,12/1/2014,Juicero,$70M / Series B
Kliener Perkins,12/1/2014,Flexus Biosciences,$38M / Series B
Kliener Perkins,12/1/2014,Kinsa,$9.6M / Series A
Kliener Perkins,12/1/2014,Optoro,$50M / Series C (Lead)
Kliener Perkins,12/1/2014,Area 1 Security,$8M / Series A (Lead)
Kliener Perkins,11/1/2014,Endgame,$30M / Series C
Kliener Perkins,11/1/2014,Farmer's Edge Laboratories,undisclosed amount /Series B
Kliener Perkins,11/1/2014,Ambiq Micro,$15.6M / Series C
Kliener Perkins,11/1/2014,Nav,$6.5M / Series A (Lead)
Kliener Perkins,10/1/2014,Slack,$120M / Series D (Lead)
Kliener Perkins,10/1/2014,Bitstrips,$8M / Series B
Kliener Perkins,10/1/2014,Lomark,$30M / Series B
Kliener Perkins,10/1/2014,Enjoy,$30M / Venture
Kliener Perkins,10/1/2014,Magic Leap,$542M / Series B
Kliener Perkins,10/1/2014,Truecaller,$60M / Series C (Lead)
Kliener Perkins,10/1/2014,Segment,$15M / Series A
Kliener Perkins,10/1/2014,Houzz,$165M / Series D
Kliener Perkins,9/1/2014,Remind,$40M / Series C (Lead)
Kliener Perkins,9/1/2014,Miaopai,$50M / Series C (Lead)
Kliener Perkins,9/1/2014,Spruce Health,$2M / Seed (Lead)
Kliener Perkins,9/1/2014,Massdrop,$6.5M / Series A
Kliener Perkins,9/1/2014,BetterWorks,$15M / Series A (Lead)
Kliener Perkins,9/1/2014,Teladoc,$50.25M / Series C
Kliener Perkins,9/1/2014,DataStax,$106M / Series E (Lead)
Kliener Perkins,9/1/2014,Lehigh Technologies,$8M / Venture
Kliener Perkins,8/1/2014,ZAI Lab,$30M / Series A
Kliener Perkins,8/1/2014,Wearable Intelligence,$7.87M / Venture
Kliener Perkins,8/1/2014,Enlighted,$20M / Series D
Kliener Perkins,8/1/2014,PernixData,$35M / Series C
Kliener Perkins,7/1/2014,Airware,$25M / Series B (Lead)
Kliener Perkins,7/1/2014,AppDynamics,$70M / Series E
Kliener Perkins,7/1/2014,Solexel,$31M / Series D
Kliener Perkins,7/1/2014,HiWiFi,$10M / Series B
Kliener Perkins,6/1/2014,CoreOS,$8M / Series A (Lead)
Kliener Perkins,6/1/2014,"MCube, Inc",$37M / Series C
Kliener Perkins,6/1/2014,CloudPhysics,$15M / Series C
Kliener Perkins,6/1/2014,Proterra,$30M / Series D (Lead)
Kliener Perkins,6/1/2014,Puppet Labs,$40M / Series E
Kliener Perkins,6/1/2014,Victorious,$23.2M / Venture
Kliener Perkins,6/1/2014,Uber,$1.2B / Series D
Kliener Perkins,5/1/2014,ARMO BioSciences,$30M / Series B
Kliener Perkins,5/1/2014,Ximalaya,$11.5M / Series A
Kliener Perkins,5/1/2014,Mango Health,$5.25M / Series A (Lead)
Kliener Perkins,5/1/2014,Tradesy,$13M / Series B (Lead)
Kliener Perkins,5/1/2014,Timeful,$7M / Series A
Kliener Perkins,5/1/2014,Inspire Medical Systems,$40M / Series E
Kliener Perkins,5/1/2014,Essence Group Holdings,$71.03M / Private Equity
Kliener Perkins,5/1/2014,Instart Logic,$26M / Series C (Lead)
Kliener Perkins,5/1/2014,"ChargePoint, Inc.",$22.6M / Series E
Kliener Perkins,5/1/2014,Area 1 Security,$2.5M / Seed
Kliener Perkins,5/1/2014,NVdrones,$25k / Angel
Kliener Perkins,5/1/2014,NVdrones,$50k / Seed
Kliener Perkins,4/1/2014,InsideSales.com,$100M / Series C
Kliener Perkins,4/1/2014,Synack,$7.5M / Series A (Lead)
Kliener Perkins,4/1/2014,Arrail Dental Clinic,$70M / Series C
Kliener Perkins,4/1/2014,Rapid Micro Biosystems,$6M / Venture
Kliener Perkins,4/1/2014,Farmers Business Network,$5.6M / Series A
Kliener Perkins,3/1/2014,ClearStory Data,$21M / Series B
Kliener Perkins,3/1/2014,Crossbar,$25M / Series C
Kliener Perkins,3/1/2014,RelateIQ,$40M / Series C
Kliener Perkins,3/1/2014,Secret,$8.6M / Series A
Kliener Perkins,3/1/2014,Aquion Energy,$56.61M / Series D
Kliener Perkins,3/1/2014,Meican,$10M / Series B
Kliener Perkins,3/1/2014,ServiceMax,$71M / Series E (Lead)
Kliener Perkins,3/1/2014,DocuSign,$85M / Series E
Kliener Perkins,3/1/2014,Zumper,$6.5M / Series A (Lead)
Kliener Perkins,3/1/2014,Invuity,$36M / Series E
Kliener Perkins,3/1/2014,Plex,$10M / Series B
Kliener Perkins,3/1/2014,Sinbad's supply chain,$1M / Series A
Kliener Perkins,3/1/2014,"Shanghai Ulucu Electronic Technology Co.,Ltd.",undisclosed amount /Series A
Kliener Perkins,3/1/2014,Yunzhilian Network Science and Technology Co. ltd,$1M / Series A
Kliener Perkins,2/1/2014,Shape Security,$40M / Series C
Kliener Perkins,2/1/2014,Elcelyx Therapeutics,$24.72M / Series C
Kliener Perkins,2/1/2014,Ionic Security,$25.5M / Series B
Kliener Perkins,2/1/2014,Gusto,$20M / Series A
Kliener Perkins,2/1/2014,Duolingo,$20M / Series C (Lead)
Kliener Perkins,2/1/2014,Bit9,$38.25M / Series E
Kliener Perkins,2/1/2014,Remind,$15M / Series B (Lead)
Kliener Perkins,1/1/2014,One Kings Lane,$112M / Series E
Kliener Perkins,1/1/2014,Indiegogo,$40M / Series B (Lead)
Kliener Perkins,1/1/2014,SuVolta,$10.6M / Series F
Kliener Perkins,1/1/2014,Path,$25M / Series C
Kliener Perkins,1/1/2014,Atara Biotherapeutics,$13.5M / Series B
Kliener Perkins,1/1/2014,Proterra,$34.21M / Series C
Kliener Perkins,1/1/2014,Zephyr Health,$15M / Series B (Lead)
Kliener Perkins,1/1/2014,Amprius,$30M / Series C
Khosla,12/1/2015,Twine Health,$6.75M / Series A
Khosla,11/1/2015,Varentec,$13M / Series C
Khosla,11/1/2015,Bidgely,$16.6M / Series B
Khosla,10/1/2015,Citus Data,$9.5M / Series A (Lead)
Khosla,10/1/2015,Imply Data,$2M / Seed
Khosla,10/1/2015,Impossible Foods,$108M / Series D
Khosla,9/1/2015,Vectra Networks,$35M / Series D
Khosla,9/1/2015,GitLab Inc,$4M / Series A (Lead)
Khosla,9/1/2015,Fundera,$11.5M / Series B
Khosla,9/1/2015,Clear Labs,$6.5M / Series A
Khosla,9/1/2015,Fundbox,$50M / Series C
Khosla,9/1/2015,Granular,$21.06M / Series B
Khosla,9/1/2015,Okta,$75M / Series F
Khosla,8/1/2015,Genalyte,$44M / Series C (Lead)
Khosla,8/1/2015,Editas Medicine,$120M / Series B
Khosla,8/1/2015,Koding,$10M / Series B
Khosla,7/1/2015,littleBits Electronics,$46.74M / Series B
Khosla,7/1/2015,Klarismo,$2.1M / Seed
Khosla,7/1/2015,Upstart,$35M / Series C
Khosla,7/1/2015,GitLab Inc,$1.5M / Seed
Khosla,6/1/2015,ScoreBeyond,$2.8M / Seed (Lead)
Khosla,6/1/2015,SmartSpot,$1.8M / Seed
Khosla,6/1/2015,Catalia Health,$1.25M / Seed
Khosla,6/1/2015,Atomwise,$6M / Seed
Khosla,6/1/2015,Canary,$30M / Series B
Khosla,5/1/2015,Smarking,$3M / Seed (Lead)
Khosla,5/1/2015,Zenefits,$500M / Series C
Khosla,5/1/2015,Affirm,$275M / Series B
Khosla,5/1/2015,20n,$2.1M / Seed
Khosla,4/1/2015,Color Genomics,$15M / Series A
Khosla,4/1/2015,MyTime,$9.25M / Series B
Khosla,4/1/2015,CrossChx,$15M / Series B (Lead)
Khosla,4/1/2015,Zebra Medical Vision Ltd,$8M / Seed (Lead)
Khosla,4/1/2015,Tapingo,$22M / Series C
Khosla,3/1/2015,DoorDash,$40M / Series B
Khosla,3/1/2015,Ayasdi,$55M / Series C
Khosla,3/1/2015,Realm,$20M / Series B (Lead)
Khosla,3/1/2015,Fundbox,$40M / Series B
Khosla,3/1/2015,Sakti3,$20M / Series C
Khosla,3/1/2015,Feetz,$1M / Seed
Khosla,3/1/2015,21 Inc,$116M / Venture
Khosla,3/1/2015,Rocket Lab,undisclosed amount /Series B
Khosla,2/1/2015,Opendoor,$20M / Series B
Khosla,2/1/2015,Metamarkets,$15M / Series C
Khosla,2/1/2015,Guardant Health,$50M / Series C
Khosla,1/1/2015,Iora Health,$28M / Series C
Khosla,1/1/2015,Alchemist Accelerator,$2.1M / Venture
Khosla,1/1/2015,Scribd,$22M / Series D (Lead)
Khosla,12/1/2014,Instacart,$220M / Series C
Khosla,12/1/2014,Ginger.io,$20M / Series B
Khosla,12/1/2014,Hampton Creek,$90M / Series A (Lead)
Khosla,12/1/2014,DB Networks,$17M / Series C
Khosla,12/1/2014,ToyTalk,$15M / Series C (Lead)
Khosla,12/1/2014,Helium,$15.98M / Series A (Lead)
Khosla,12/1/2014,Seeo,$17M / Series E
Khosla,12/1/2014,Mesosphere,$36M / Series B (Lead)
Khosla,12/1/2014,LanzaTech,$112M / Series D
